# timestamp, timestep, pktv4counts, pktv6counts
1548997252.169873, 516, 12505, 233
1548997252.269873, 517, 12845, 94
1548997252.369873, 518, 14490, 93
1548997252.469872, 519, 13655, 105
1548997252.569872, 520, 14387, 83
1548997252.669872, 521, 14366, 131
1548997252.769872, 522, 14542, 111
1548997252.869872, 523, 13300, 128
1548997252.969872, 524, 11325, 112
1548997253.069872, 525, 13414, 122
1548997253.169872, 526, 11683, 163
1548997253.269872, 527, 10911, 128
1548997253.369872, 528, 10237, 262
1548997253.469872, 529, 12196, 286
1548997253.569871, 530, 10727, 199
1548997253.669871, 531, 12851, 151
1548997253.769871, 532, 12552, 90
1548997253.869871, 533, 11065, 170
1548997253.969871, 534, 10985, 114
1548997254.069871, 535, 10980, 232
1548997254.169871, 536, 11983, 946
1548997254.269871, 537, 12873, 586
1548997254.369871, 538, 12249, 139
1548997254.469871, 539, 12170, 107
1548997254.569870, 540, 11586, 139
1548997254.669870, 541, 11142, 87
1548997254.769870, 542, 10700, 125
1548997254.869870, 543, 12105, 88
1548997254.969870, 544, 13250, 96
1548997255.069870, 545, 11707, 87
1548997255.169870, 546, 13876, 221
1548997255.269870, 547, 11963, 146
1548997255.369870, 548, 10055, 231
1548997255.469870, 549, 7890, 234
1548997255.569870, 550, 8214, 232
1548997255.669869, 551, 9837, 139
1548997255.769869, 552, 9874, 81
1548997255.869869, 553, 12599, 170
1548997255.969869, 554, 12371, 162
1548997256.069869, 555, 12571, 493
1548997256.169869, 556, 10903, 392
1548997256.269869, 557, 12060, 127
1548997256.369869, 558, 10174, 180
1548997256.469869, 559, 8747, 197
1548997256.569869, 560, 9009, 448
1548997256.669868, 561, 8694, 203
1548997256.769868, 562, 8807, 176
1548997256.869868, 563, 9120, 120
1548997256.969868, 564, 8119, 117
1548997257.069868, 565, 9827, 206
1548997257.169868, 566, 9050, 219
1548997257.269868, 567, 6948, 336
1548997257.369868, 568, 8929, 228
1548997257.469868, 569, 10357, 281
1548997257.569868, 570, 7902, 718
1548997257.669868, 571, 8389, 788
1548997257.769867, 572, 8847, 812
1548997257.869867, 573, 7323, 431
1548997257.969867, 574, 7624, 728
1548997258.069867, 575, 7158, 888
1548997258.169867, 576, 7927, 337
1548997258.269867, 577, 8881, 278
1548997258.369867, 578, 8502, 176
1548997258.469867, 579, 10452, 245
1548997258.569867, 580, 11255, 269
1548997258.669867, 581, 10268, 266
1548997258.769866, 582, 10232, 327
1548997258.869866, 583, 12251, 364
1548997258.969866, 584, 10739, 377
1548997259.069866, 585, 11131, 511
1548997259.169866, 586, 9796, 306
1548997259.269866, 587, 12903, 931
1548997259.369866, 588, 11994, 345
1548997259.469866, 589, 10975, 543
1548997259.569866, 590, 9591, 437
1548997259.669866, 591, 9142, 163
1548997259.769866, 592, 9274, 297
1548997259.869865, 593, 10467, 252
1548997259.969865, 594, 8603, 266
1548997260.069865, 595, 8214, 77
1548997260.169865, 596, 8193, 116
1548997260.269865, 597, 8722, 184
1548997260.369865, 598, 10173, 292
1548997260.469865, 599, 12223, 230
1548997260.569865, 600, 9640, 326
1548997260.669865, 601, 10862, 317
1548997260.769865, 602, 10945, 347
1548997260.869864, 603, 8620, 563
1548997260.969864, 604, 11075, 676
1548997261.069864, 605, 8716, 447
1548997261.169864, 606, 9244, 394
1548997261.269864, 607, 9374, 544
1548997261.369864, 608, 8599, 133
1548997261.469864, 609, 9051, 193
1548997261.569864, 610, 8081, 173
1548997261.669864, 611, 10510, 106
1548997261.769864, 612, 9268, 352
1548997261.869864, 613, 8062, 162
1548997261.969863, 614, 7939, 141
1548997262.069863, 615, 7596, 178
1548997262.169863, 616, 9269, 274
1548997262.269863, 617, 8429, 216
1548997262.369863, 618, 9719, 215
1548997262.469863, 619, 7708, 267
1548997262.569863, 620, 8335, 234
1548997262.669863, 621, 10315, 172
1548997262.769863, 622, 8913, 140
1548997262.869863, 623, 8328, 118
1548997262.969862, 624, 9114, 129
1548997263.069862, 625, 8672, 106
1548997263.169862, 626, 8874, 117
1548997263.269862, 627, 8539, 312
1548997263.369862, 628, 8718, 743
1548997263.469862, 629, 8978, 113
1548997263.569862, 630, 8295, 3238
1548997263.669862, 631, 9037, 4923
1548997263.769862, 632, 10929, 2768
1548997263.869862, 633, 10232, 4148
1548997263.969862, 634, 10911, 2460
1548997264.069861, 635, 10890, 2400
1548997264.169861, 636, 10175, 1669
1548997264.269861, 637, 9958, 2055
1548997264.369861, 638, 9094, 3352
1548997264.469861, 639, 8613, 5288
1548997264.569861, 640, 10089, 3881
1548997264.669861, 641, 11556, 3157
1548997264.769861, 642, 11172, 3694
1548997264.869861, 643, 10546, 1269
1548997264.969861, 644, 10327, 168
1548997265.069860, 645, 10923, 251
1548997265.169860, 646, 12593, 338
1548997265.269860, 647, 11716, 204
1548997265.369860, 648, 12105, 403
1548997265.469860, 649, 9921, 340
1548997265.569860, 650, 10535, 279
1548997265.669860, 651, 9905, 194
1548997265.769860, 652, 10185, 176
1548997265.869860, 653, 10214, 989
1548997265.969860, 654, 10744, 2581
1548997266.069860, 655, 10709, 3596
1548997266.169859, 656, 11041, 1651
1548997266.269859, 657, 10981, 1522
1548997266.369859, 658, 10027, 1592
1548997266.469859, 659, 12527, 1307
1548997266.569859, 660, 11354, 1651
1548997266.669859, 661, 10806, 528
1548997266.769859, 662, 11352, 250
1548997266.869859, 663, 9957, 231
1548997266.969859, 664, 10466, 169
1548997267.069859, 665, 9562, 405
1548997267.169858, 666, 10068, 780
1548997267.269858, 667, 11682, 2052
1548997267.369858, 668, 10417, 797
1548997267.469858, 669, 10091, 644
1548997267.569858, 670, 9839, 185
1548997267.669858, 671, 10297, 192
1548997267.769858, 672, 10501, 327
1548997267.869858, 673, 11526, 191
1548997267.969858, 674, 10797, 169
1548997268.069858, 675, 12535, 1250
1548997268.169858, 676, 13220, 1012
1548997268.269857, 677, 11989, 462
1548997268.369857, 678, 10447, 169
1548997268.469857, 679, 11222, 440
1548997268.569857, 680, 13772, 109
1548997268.669857, 681, 12547, 207
1548997268.769857, 682, 12129, 195
1548997268.869857, 683, 11971, 185
1548997268.969857, 684, 11802, 231
1548997269.069857, 685, 10644, 225
1548997269.169857, 686, 11947, 202
1548997269.269856, 687, 11205, 158
1548997269.369856, 688, 11718, 212
1548997269.469856, 689, 11944, 223
1548997269.569856, 690, 10831, 734
1548997269.669856, 691, 12615, 587
1548997269.769856, 692, 10664, 251
1548997269.869856, 693, 11424, 263
1548997269.969856, 694, 12298, 247
1548997270.069856, 695, 10331, 219
1548997270.169856, 696, 11023, 123
1548997270.269855, 697, 12456, 123
1548997270.369855, 698, 12074, 102
1548997270.469855, 699, 12052, 172
1548997270.569855, 700, 10065, 101
1548997270.669855, 701, 11229, 136
1548997270.769855, 702, 10436, 141
1548997270.869855, 703, 9549, 243
1548997270.969855, 704, 10191, 360
1548997271.069855, 705, 10406, 239
1548997271.169855, 706, 11475, 171
1548997271.269855, 707, 12721, 262
1548997271.369854, 708, 11203, 320
1548997271.469854, 709, 8876, 296
1548997271.569854, 710, 8898, 381
1548997271.669854, 711, 9821, 268
1548997271.769854, 712, 10375, 205
1548997271.869854, 713, 9781, 1021
1548997271.969854, 714, 10721, 157
1548997272.069854, 715, 9340, 230
1548997272.169854, 716, 10026, 384
1548997272.269854, 717, 10965, 735
1548997272.369853, 718, 10490, 471
1548997272.469853, 719, 10534, 313
1548997272.569853, 720, 11297, 511
1548997272.669853, 721, 11601, 426
1548997272.769853, 722, 10625, 255
1548997272.869853, 723, 10177, 407
1548997272.969853, 724, 11976, 479
1548997273.069853, 725, 12346, 564
1548997273.169853, 726, 11812, 288
1548997273.269853, 727, 13340, 333
1548997273.369853, 728, 12144, 312
1548997273.469852, 729, 13251, 1229
1548997273.569852, 730, 13952, 475
1548997273.669852, 731, 14150, 306
1548997273.769852, 732, 13238, 245
1548997273.869852, 733, 13862, 199
1548997273.969852, 734, 11639, 384
1548997274.069852, 735, 10137, 342
1548997274.169852, 736, 11430, 425
1548997274.269852, 737, 11821, 320
1548997274.369852, 738, 11558, 262
1548997274.469851, 739, 12527, 239
1548997274.569851, 740, 11710, 346
1548997274.669851, 741, 11553, 312
1548997274.769851, 742, 12984, 316
1548997274.869851, 743, 12587, 451
1548997274.969851, 744, 12016, 1277
1548997275.069851, 745, 10914, 1414
1548997275.169851, 746, 13211, 492
